advertiser,year,month,Tv,Print_Media,Radio,Google,Fb_and_Insta,Youtube,Hoardings,Others,Total,Sales
DE DIET CHEF INDIA PVT LTD,2019,11,3115150,227029.9625,19968.5478,322891.4078,1100763.953,170835.5549,42952.17148,40496.80564,5040088.403,92987269.59
DE DIET CHEF INDIA PVT LTD,2019,12,3115150,227029.9625,19968.5478,322891.4078,1100763.953,170835.5549,42952.17148,40496.80564,5040088.403,92987269.59
DELHI JAL BOARD,2019,12,431762,31111.13116,4457.663997,126964.909,95378.61205,26951.55839,8563.028943,9359.960727,734548.8643,9051281.146
DELOITTE,2019,11,776496,37948.76416,11075.36184,80403.50334,158697.0124,30828.80267,12022.7988,13983.32381,1121455.567,9931087.475
DELOITTE,2019,12,776496,37948.76416,11075.36184,80403.50334,158697.0124,30828.80267,12022.7988,13983.32381,1121455.567,9931087.475
DEPT OF AGRI ANIMAL HUSB & COOP (JHAR),2018,11,1995433,88569.14506,17853.18033,389255.5324,920501.0945,87084.23202,47653.02405,67234.74645,3613583.955,50686517.74
DEPT OF AGRI ANIMAL HUSB & COOP (JHAR),2018,12,1995433,88569.14506,17853.18033,389255.5324,920501.0945,87084.23202,47653.02405,67234.74645,3613583.955,50686517.74
DEPT OF AGRICULTURE (ASSAM),2019,9,727943,38967.36504,12279.50932,123662.3083,210304.3171,28057.56849,9105.915648,6710.068528,1157030.052,9427663.783
DEPT OF AGRICULTURE (ASSAM),2019,10,727943,38967.36504,12279.50932,123662.3083,210304.3171,28057.56849,9105.915648,6710.068528,1157030.052,9427663.783
DEPT OF AGRICULTURE (ASSAM),2019,11,727943,38967.36504,12279.50932,123662.3083,210304.3171,28057.56849,9105.915648,6710.068528,1157030.052,9427663.783
DEPT OF AGRICULTURE (ASSAM),2019,12,727943,38967.36504,12279.50932,123662.3083,210304.3171,28057.56849,9105.915648,6710.068528,1157030.052,9427663.783
DEPT OF ANIMAL HUSBANDRY(MAHA),2020,10,67776,2050.720673,819.4982505,9495.01328,28327.76308,2571.940901,1337.482554,1527.462694,113905.8814,1139270.42
DEPT OF ANIMAL HUSBANDRY(MAHA),2020,11,67776,2050.720673,819.4982505,9495.01328,28327.76308,2571.940901,1337.482554,1527.462694,113905.8814,1139270.42
DEPT OF ANIMAL HUSBANDRY(MAHA),2020,12,67776,2050.720673,819.4982505,9495.01328,28327.76308,2571.940901,1337.482554,1527.462694,113905.8814,1139270.42
DEPT OF BUILDING CONST (BIHAR),2020,9,245188,10605.3109,1901.191875,56177.41473,44159.80386,11645.63405,1943.786791,2323.462857,373944.6051,6188616.519
DEPT OF BUILDING CONST (BIHAR),2020,10,245188,10605.3109,1901.191875,56177.41473,44159.80386,11645.63405,1943.786791,2323.462857,373944.6051,6188616.519
DEPT OF BUILDING CONST (BIHAR),2020,11,245188,10605.3109,1901.191875,56177.41473,44159.80386,11645.63405,1943.786791,2323.462857,373944.6051,6188616.519
DEPT OF BUILDING CONST (BIHAR),2020,12,245188,10605.3109,1901.191875,56177.41473,44159.80386,11645.63405,1943.786791,2323.462857,373944.6051,6188616.519
DEPT OF COOP MKTG&TEXTILE INDUSTRY (MAH),2019,9,1256271,69656.23587,21001.73174,235021.5008,332145.3153,35512.04813,24148.24086,35460.22183,2009216.295,33220039.89
DEPT OF COOP MKTG&TEXTILE INDUSTRY (MAH),2019,10,1256271,69656.23587,21001.73174,235021.5008,332145.3153,35512.04813,24148.24086,35460.22183,2009216.295,33220039.89
DEPT OF COOP MKTG&TEXTILE INDUSTRY (MAH),2019,11,1256271,69656.23587,21001.73174,235021.5008,332145.3153,35512.04813,24148.24086,35460.22183,2009216.295,33220039.89
DEPT OF COOP MKTG&TEXTILE INDUSTRY (MAH),2019,12,1256271,69656.23587,21001.73174,235021.5008,332145.3153,35512.04813,24148.24086,35460.22183,2009216.295,33220039.89
DEPT OF DISASTER MGMT RELIEF & REHABILITATION (MH),2021,3,13827037,846074.8384,205516.3262,2489572.834,3913345.437,839721.7115,215967.1214,413213.7035,22750448.97,262516994.7
DEPT OF DISASTER MGMT RELIEF & REHABILITATION (MH),2021,4,13827037,471996.3404,152134.6161,3099776.212,4217904.809,435709.4772,255516.7115,290972.7412,22751047.91,212928176.7
DEPT OF DISASTER MGMT RELIEF & REHABILITATION (MH),2021,5,13827037,404612.2125,211156.5949,3312292.105,4473361.111,363534.5191,285305.8698,336498.4879,23213797.9,324631391.7
DEPT OF DISASTER MGMT RELIEF & REHABILITATION (MH),2021,6,13827037,426796.253,155191.6381,1778843.422,5509990.576,787818.425,162704.626,281439.8443,22929821.78,404209153.6
DEPT OF ENREGY (MAHA)/MAHARASHTRA ST ELEC DISTRIBU,2021,3,1547734,91938.81764,11050.88344,146382.1263,448713.991,75943.50069,34455.58127,35369.27866,2391588.179,29842314.39
DEPT OF ENREGY (MAHA)/MAHARASHTRA ST ELEC DISTRIBU,2021,4,1547734,71974.68131,19141.54771,267013.9895,729988.2121,59615.5376,32395.63976,59294.44077,2787158.049,40179007.1
DEPT OF ENREGY (MAHA)/MAHARASHTRA ST ELEC DISTRIBU,2021,5,1547734,107096.2741,8282.343204,179072.4841,409616.2642,93111.50683,26006.61321,29701.50263,2400620.988,28346935.02
DEPT OF ENREGY (MAHA)/MAHARASHTRA ST ELEC DISTRIBU,2021,6,1547734,77108.12154,13292.7419,493429.2669,342929.0328,83941.29435,27794.12646,15583.40771,2601811.992,18286479.21
DEPT OF HORTICULTURE (GUJ),2021,3,1280233,56508.23166,8022.632752,170561.6926,483541.4617,69796.95009,23132.31818,32752.21046,2124548.497,19614183.48
DEPT OF HORTICULTURE (GUJ),2021,4,1280233,94510.37445,15362.41615,327625.2192,422185.4971,77675.98577,14561.39298,33937.90597,2266091.792,38862097.17
DEPT OF HORTICULTURE (GUJ),2021,5,1280233,44786.20364,16767.04949,125305.2384,305013.756,45630.92601,15946.47694,38756.96446,1872439.615,21299253.37
DEPT OF HORTICULTURE (GUJ),2021,6,1280233,67356.03239,9936.302071,161288.5012,282841.6529,54455.64125,6764.843792,27370.33328,1890246.307,27868660.69
DEPT OF HOUSING (WB),2020,9,278334,11092.56895,3958.734282,59929.2794,102877.6403,10212.75762,2672.336121,7604.522756,476681.8394,6330889.872
DEPT OF HOUSING (WB),2020,10,278334,11092.56895,3958.734282,59929.2794,102877.6403,10212.75762,2672.336121,7604.522756,476681.8394,6330889.872
DEPT OF HOUSING (WB),2020,11,278334,11092.56895,3958.734282,59929.2794,102877.6403,10212.75762,2672.336121,7604.522756,476681.8394,6330889.872
DEPT OF HOUSING (WB),2020,12,278334,11092.56895,3958.734282,59929.2794,102877.6403,10212.75762,2672.336121,7604.522756,476681.8394,6330889.872
DEPT OF HR EDUCATION (WB),2018,11,786205,29865.49632,4233.836163,224629.1826,161177.8233,37239.20914,18759.76089,10224.76343,1272335.072,23726244.54
DEPT OF HR EDUCATION (WB),2018,12,786205,29865.49632,4233.836163,224629.1826,161177.8233,37239.20914,18759.76089,10224.76343,1272335.072,23726244.54
DEPT OF INDUSTRIES (HP),2019,10,805361,29496.70197,4738.645664,100287.274,329625.6049,44871.7302,17242.79821,28827.09973,1360450.855,16816346.01
DEPT OF INDUSTRIES (HP),2019,11,381389,19600.68953,6366.872212,102443.1639,161030.1811,11477.01843,1651.843764,10088.44013,694047.2091,10850781.65
DEPT OF INDUSTRIES (HP),2019,12,593375,24548.69575,5552.758938,101365.219,245327.893,28174.37432,9447.320987,19457.76993,1027249.032,13833563.83
DEPT OF IT & BIOTECH (KAR),2020,11,1600470,47246.45245,20441.43949,263552.5336,668424.4709,95807.30528,13754.45468,51061.71796,2760758.374,40297806.32
DEPT OF IT & BIOTECH (KAR),2020,12,1600470,47246.45245,20441.43949,263552.5336,668424.4709,95807.30528,13754.45468,51061.71796,2760758.374,40297806.32
DEPT OF PAN RURAL HOUS AND RURAL DEVP (GUJ),2021,3,2801581,159741.5561,23600.61396,443915.662,1195905.457,77043.80423,46410.79599,52208.32681,4800407.216,58999036.51
DEPT OF PAN RURAL HOUS AND RURAL DEVP (GUJ),2021,4,2801581,96074.40909,47804.08222,734131.4577,810101.6603,176149.0453,35171.90328,69464.92903,4770478.487,29632732.37
DEPT OF PAN RURAL HOUS AND RURAL DEVP (GUJ),2021,5,2801581,192580.0735,45355.6887,735134.9887,1271013.977,74739.90208,41950.01035,96747.84372,5259103.484,82297107.09
DEPT OF PAN RURAL HOUS AND RURAL DEVP (GUJ),2021,6,2801581,186773.7011,41081.40573,553340.197,1066569.083,85826.2267,15552.08823,30150.94872,4780874.65,58072923.15
DEPT OF PENSION & PENSIONERS WELFARE,2018,10,475490,23815.90692,8258.65143,77423.80853,101102.0641,21975.57423,10600.00107,8055.223759,726721.2301,5416753.961
DEPT OF PENSION & PENSIONERS WELFARE,2018,11,8385382,223709.0808,133309.9143,1600555.427,3058521.987,323000.2228,193846.1565,209150.8855,14127475.67,119763319.5
DEPT OF PENSION & PENSIONERS WELFARE,2018,12,4430436,123762.4939,70784.28287,838989.6178,1579812.026,172487.8985,102223.0788,108603.0546,7427098.452,62590036.73
DEPT OF ROAD AND TRANSPORT (GUJ),2019,12,2929167,103824.8515,22757.80609,316476.0009,1359457.302,109121.3983,62545.50831,50920.42713,4954270.294,34765790.34
DEPT OF RURAL AFFAIRS BIHAR,2020,9,360251,19938.4231,3053.2314,49391.89553,86309.92072,9888.037288,8424.893717,8816.606545,546074.0083,9824480.947
DEPT OF RURAL AFFAIRS BIHAR,2020,10,360251,19938.4231,3053.2314,49391.89553,86309.92072,9888.037288,8424.893717,8816.606545,546074.0083,9824480.947
DEPT OF RURAL AFFAIRS BIHAR,2020,11,360251,19938.4231,3053.2314,49391.89553,86309.92072,9888.037288,8424.893717,8816.606545,546074.0083,9824480.947
DEPT OF RURAL AFFAIRS BIHAR,2020,12,360251,19938.4231,3053.2314,49391.89553,86309.92072,9888.037288,8424.893717,8816.606545,546074.0083,9824480.947
DEPT OF SOCIAL WELFARE (ASS),2020,9,410148,20821.79925,6930.67404,129316.3875,75583.10571,23684.14825,5372.000811,14131.98505,685988.1006,9698088.502
DEPT OF SOCIAL WELFARE (ASS),2020,10,410148,20821.79925,6930.67404,129316.3875,75583.10571,23684.14825,5372.000811,14131.98505,685988.1006,9698088.502
DEPT OF SOCIAL WELFARE (ASS),2020,11,410148,20821.79925,6930.67404,129316.3875,75583.10571,23684.14825,5372.000811,14131.98505,685988.1006,9698088.502
DEPT OF SOCIAL WELFARE (ASS),2020,12,410148,20821.79925,6930.67404,129316.3875,75583.10571,23684.14825,5372.000811,14131.98505,685988.1006,9698088.502
DEPT OF SPORTS&YOUTH WELFARE (CHHA),2020,12,934121,46254.67455,16295.74797,126463.3403,307390.5522,34504.41797,4649.540845,19633.16381,1489312.438,25197669.9
DEPT OF URBAN DEVP(KARNATAKA),2020,11,740456,31548.8687,5775.423795,56623.37582,205280.4767,28212.01396,4099.269097,14248.62772,1086244.056,10854819.02
DEPT OF URBAN DEVP(KARNATAKA),2020,12,740456,31548.8687,5775.423795,56623.37582,205280.4767,28212.01396,4099.269097,14248.62772,1086244.056,10854819.02
DEPT OF WOMEN & CHILD DEVELOPMENT (JHAR),2019,9,621040,36697.2624,9493.024618,95208.98829,281959.6057,25338.26548,6680.48116,9847.736887,1086265.365,8960541.481
DEPT OF WOMEN & CHILD DEVELOPMENT (JHAR),2019,10,621040,36697.2624,9493.024618,95208.98829,281959.6057,25338.26548,6680.48116,9847.736887,1086265.365,8960541.481
DEPT OF WOMEN & CHILD DEVELOPMENT (JHAR),2019,11,621040,36697.2624,9493.024618,95208.98829,281959.6057,25338.26548,6680.48116,9847.736887,1086265.365,8960541.481
DEPT OF WOMEN & CHILD DEVELOPMENT (JHAR),2019,12,621040,36697.2624,9493.024618,95208.98829,281959.6057,25338.26548,6680.48116,9847.736887,1086265.365,8960541.481
DERBY CLOTHING PVT LTD,2018,11,91379,4183.053551,1399.397489,14318.70089,33359.00792,3156.712759,1142.12522,3291.882773,152229.8806,1831365.445
DERBY CLOTHING PVT LTD,2018,12,91379,4183.053551,1399.397489,14318.70089,33359.00792,3156.712759,1142.12522,3291.882773,152229.8806,1831365.445
DESAI BROTHERS LTD,2021,3,1923116,78543.67948,15943.02276,333420.1929,395500.3738,83332.05502,17736.2286,29377.65274,2876969.205,20525745.72
DESAI BROTHERS LTD,2021,4,1923116,82327.34263,16402.1927,297308.8926,848470.4227,61796.37193,23491.83359,56405.49214,3309318.548,52048771.51
DESAI BROTHERS LTD,2021,5,1923116,86765.83756,13397.06491,558559.246,517269.8724,82195.9088,23780.14719,48592.48336,3253676.56,21205543.09
DESAI BROTHERS LTD,2021,6,1923116,111674.1905,28516.64719,334320.1163,722000.5027,95734.60595,24622.39996,40248.92865,3280233.391,32844494.76
DHARTI MAA FOUNDATION TRUST,2018,11,1813352,104823.7186,11664.01548,525200.094,738566.2959,84774.71345,43442.96707,21359.73884,3343183.543,36821909.54
DHARTI MAA FOUNDATION TRUST,2018,12,1678772,78670.44611,13929.1034,130421.0347,574206.2943,77681.48867,19753.10413,28865.74091,2602299.212,28797868.95
DINESH ENGINEERES PVT LTD,2018,9,1297627,46330.77318,11700.31308,358193.4124,617691.588,52552.78396,21335.02311,34180.71392,2439611.608,30757970.22
DINESH ENGINEERES PVT LTD,2018,10,1297627,46330.77318,11700.31308,358193.4124,617691.588,52552.78396,21335.02311,34180.71392,2439611.608,30757970.22
DINESH ENGINEERES PVT LTD,2018,11,1297627,46330.77318,11700.31308,358193.4124,617691.588,52552.78396,21335.02311,34180.71392,2439611.608,30757970.22
DINESH ENGINEERES PVT LTD,2018,12,1297627,46330.77318,11700.31308,358193.4124,617691.588,52552.78396,21335.02311,34180.71392,2439611.608,30757970.22
DIREC OF CULTURAL AFFAIRS(ASS),2019,11,521671,14455.66495,9085.176403,73200.11446,233741.9075,27032.88545,6554.332295,13439.22544,899180.3065,9281448.36
DIREC OF CULTURAL AFFAIRS(ASS),2019,12,521671,14455.66495,9085.176403,73200.11446,233741.9075,27032.88545,6554.332295,13439.22544,899180.3065,9281448.36
DIREC OF INDUSTRIES (UTTARAKHAND),2018,9,2759332,202559.8451,46423.64,417617.787,1161526.44,168024.805,31231.24919,88960.68069,4875676.447,66299028.9
DIREC OF INDUSTRIES (UTTARAKHAND),2018,10,2476139,91049.42246,21156.58362,297365.0093,958524.0281,89992.64156,40340.9862,31392.26586,4005959.937,43862804.73
DIREC OF INDUSTRIES (UTTARAKHAND),2018,11,2617735.5,146804.6338,33790.11181,357491.3982,1060025.234,129008.7233,35786.1177,60176.47327,4440818.192,55080916.82
DIREC OF INDUSTRIES (UTTARAKHAND),2018,12,2476139,91049.42246,21156.58362,297365.0093,958524.0281,89992.64156,40340.9862,31392.26586,4005959.937,43862804.73
DOW JONES & COMPANY INC,2019,11,813813,25497.12526,7467.960904,109081.3719,178330.2431,42564.21298,6730.54294,16478.59505,1199963.052,18426750.29
DOW JONES & COMPANY INC,2019,12,813813,25497.12526,7467.960904,109081.3719,178330.2431,42564.21298,6730.54294,16478.59505,1199963.052,18426750.29
DP WORLD,2020,9,578624,18446.23651,6317.208417,143977.2904,187691.7609,31314.0334,5608.315422,19040.04586,991018.8909,10865002.33
DP WORLD,2020,10,1117876,49885.19338,18542.69872,308189.809,271472.3581,49707.54387,5219.635661,16917.92289,1837811.162,15083084.55
DP WORLD,2020,11,743924,28897.65393,3936.204314,118896.9495,161192.364,45927.35336,11808.52063,22822.09125,1137405.137,20677597.58
DP WORLD,2020,12,930900,39391.42366,11239.45152,213543.3793,216332.3611,47817.44862,8514.078146,19870.00707,1487608.149,17880341.07
DR BATRAS FOUNDATION,2018,11,877980,61279.66276,8432.778015,176146.1954,176217.4982,26527.87759,8480.206513,21695.81833,1356760.037,16849477.66
DR BATRAS FOUNDATION,2018,12,877980,61279.66276,8432.778015,176146.1954,176217.4982,26527.87759,8480.206513,21695.81833,1356760.037,16849477.66
DREAM ALLIANCE MATRIMONIAL SERVICES PVT LTD,2021,3,869753,64918.58368,10782.63275,279906.9823,305139.4139,31636.14507,16917.68381,26500.9341,1605555.376,20436270.69
DREAM ALLIANCE MATRIMONIAL SERVICES PVT LTD,2021,4,869753,21918.28623,12078.01139,255692.2279,371810.8183,38739.74677,12214.39976,8196.369986,1590402.86,16902500.23
DREAM ALLIANCE MATRIMONIAL SERVICES PVT LTD,2021,5,869753,52717.94679,13816.2923,239490.6472,398568.9471,32144.54594,4183.333827,19157.55849,1629832.272,14708567.6
DREAM ALLIANCE MATRIMONIAL SERVICES PVT LTD,2021,6,869753,56123.88364,13681.10929,127091.1408,205009.1916,49134.90415,15945.89222,27609.89772,1364349.019,16388570.9
DTDC INTL,2020,11,887428,28045.98638,10043.1212,152224.837,176504.2174,39415.02568,19354.07552,17399.7892,1330415.052,22910126.56
DTDC INTL,2020,12,887428,28045.98638,10043.1212,152224.837,176504.2174,39415.02568,19354.07552,17399.7892,1330415.052,22910126.56
DURIAN INDUSTRIES LTD,2020,9,423999,19139.99942,5052.919987,52371.09029,162205.3821,24265.55045,5307.629238,7594.389064,699935.9605,4945345.279
DURIAN INDUSTRIES LTD,2020,10,2673459,195517.9316,36330.05784,850817.2628,830688.3825,112181.3719,36244.66545,31011.80124,4766250.473,67925008.9
DURIAN INDUSTRIES LTD,2020,11,1548729,107328.9655,20691.48891,451594.1765,496446.8823,68223.46118,20776.14734,19303.09515,2733093.217,36435177.09
DURIAN INDUSTRIES LTD,2020,12,2673459,195517.9316,36330.05784,850817.2628,830688.3825,112181.3719,36244.66545,31011.80124,4766250.473,67925008.9
E K FOODS PVT LTD,2021,3,2854429,145707.4758,29895.94048,622835.5237,1177617.987,108172.3412,33677.13732,70180.96285,5042516.369,33486237.33
E K FOODS PVT LTD,2021,4,2854429,149728.1098,36144.05516,810261.9648,1353490.134,180946.9828,17086.70096,30506.05846,5432593.006,76900328.15
E K FOODS PVT LTD,2021,5,2854429,113826.1404,44952.70956,894656.564,598177.0388,91577.69062,55889.25542,54910.57332,4708418.972,75439646.62
E K FOODS PVT LTD,2021,6,2854429,165504.1875,48239.93085,246240.1721,1000769.345,76150.33656,15643.87179,86311.66709,4493288.511,80745242.52
EBLITZ CREATIONS,2018,10,1153319,34265.12964,19962.94459,292991.8606,215215.7585,41823.45986,11833.42065,22269.06407,1791680.638,19465366.49
EBLITZ CREATIONS,2018,11,1153319,34265.12964,19962.94459,292991.8606,215215.7585,41823.45986,11833.42065,22269.06407,1791680.638,19465366.49
EBLITZ CREATIONS,2018,12,1153319,34265.12964,19962.94459,292991.8606,215215.7585,41823.45986,11833.42065,22269.06407,1791680.638,19465366.49
EDEN REALTY VENTURES PVT LTD,2018,11,1042511,50974.12228,13156.56598,159514.9284,335223.7515,64589.48595,20638.75292,24675.18592,1711283.793,18354609.16
EDEN REALTY VENTURES PVT LTD,2018,12,360860,9345.141076,2272.649874,29084.92583,100749.3818,20787.38104,2184.109966,7919.800621,533203.3902,6058099.857
EDUAURAA TECHNOLOGIES PVT LTD,2020,11,31844456,1728331.881,326875.8847,10134999.23,6053436.784,1153684.944,489435.9733,1150862.296,52882082.99,931245026.7
EDUAURAA TECHNOLOGIES PVT LTD,2020,12,9524624,631912.4079,57932.25648,1299298.568,2409936.31,590081.2488,144578.1903,257367.3932,14915730.37,258372959.6
EDUISFUN TECHNOLOGIES PVT LTD,2019,12,41768754,1798877.353,425187.0643,7065020.395,8489928.267,2176724.998,385362.9927,450016.1631,62559871.23,1180163927
ELAN IMPEX,2019,11,476544,25822.29133,6732.651173,93855.26331,178397.8038,19010.03112,3345.311225,9494.284803,813201.6368,14566493.09
ELAN IMPEX,2019,12,476544,25822.29133,6732.651173,93855.26331,178397.8038,19010.03112,3345.311225,9494.284803,813201.6368,14566493.09
ELECTION COMMISSION (CH),2018,11,1959544,67847.11238,23711.13069,525820.9446,891528.2596,68657.63547,43267.30136,39354.31287,3619730.697,53230657.03
ELECTION COMMISSION (CH),2018,12,1959544,67847.11238,23711.13069,525820.9446,891528.2596,68657.63547,43267.30136,39354.31287,3619730.697,53230657.03
ELITE FOOTWEAR,2019,9,864013,30606.50548,4405.829264,75805.5385,282714.6334,47021.06263,20655.97464,32472.09059,1357694.635,14572748.44
ELITE FOOTWEAR,2019,10,864013,30606.50548,4405.829264,75805.5385,282714.6334,47021.06263,20655.97464,32472.09059,1357694.635,14572748.44
ELITE FOOTWEAR,2019,11,864013,30606.50548,4405.829264,75805.5385,282714.6334,47021.06263,20655.97464,32472.09059,1357694.635,14572748.44
ELITE FOOTWEAR,2019,12,864013,30606.50548,4405.829264,75805.5385,282714.6334,47021.06263,20655.97464,32472.09059,1357694.635,14572748.44
ENERGY MANAGEMENT CENTRE KERALA,2019,11,544655,19328.37851,8023.356932,132363.4177,159862.6159,15840.53326,5243.100414,6058.095473,891374.4982,9313055.408
ENERGY MANAGEMENT CENTRE KERALA,2019,12,544655,19328.37851,8023.356932,132363.4177,159862.6159,15840.53326,5243.100414,6058.095473,891374.4982,9313055.408
ETERNO INFOTECH PVT LTD,2020,9,8411887,215744.6779,88382.65427,930818.3363,2899165.691,534162.1933,73068.99507,152093.0044,13305322.55,207069841
ETERNO INFOTECH PVT LTD,2020,10,39315635,1942925.957,664781.2022,10100430.79,7093321.311,2474329.75,201493.762,1251448.282,63044366.05,518524142.9
ETERNO INFOTECH PVT LTD,2020,11,79211736,2559817.186,746230.8057,18741587.59,29207692.73,2391631.881,1785158.02,2562349.181,137206203.4,2307465099
ETERNO INFOTECH PVT LTD,2020,12,2161373,63465.8519,20380.04269,331039.4753,449458.1688,100080.1266,21987.57148,51912.67686,3199696.914,29945004.13
ETV NETWORK,2019,9,681615,50967.45143,9354.000836,188671.3386,239408.9291,33970.18196,16023.0531,26196.05319,1246206.008,20572542.9
ETV NETWORK,2019,10,661649,30049.49922,6881.944267,199584.8892,294403.5111,35927.82795,14502.85019,14142.94756,1257142.47,11157237.97
ETV NETWORK,2019,11,598961,27585.30525,9058.92208,129241.8536,153265.501,31284.88637,10386.74764,7764.040614,967548.2565,6758528.512
ETV NETWORK,2019,12,630305,28817.40224,7970.433174,164413.3714,223834.5061,33606.35716,12444.79892,10953.49409,1112345.363,8957883.241
EU LOTTO LTD,2021,3,1947645,104152.9091,12884.78319,511772.4795,396785.2897,110421.0339,16217.24553,36974.43348,3136853.174,25791994.5
EU LOTTO LTD,2021,4,1947645,102241.3175,27613.44692,458046.8341,867396.1122,123689.4392,39396.94134,33232.58146,3599261.673,23757579.21
EU LOTTO LTD,2021,5,1947645,58263.83986,17720.85827,240777.0877,799640.3073,90988.02166,13415.35056,28125.12088,3196575.586,33846702.6
EU LOTTO LTD,2021,6,1947645,52518.68055,15802.62,611665.361,369003.3028,65840.5598,31217.49298,51456.43103,3145149.448,43998193.52
EUROPA GROUP,2018,10,1042259,47096.88115,6454.297579,328379.3073,364827.3356,57638.06612,7026.423791,38143.18534,1891824.497,22560225.27
EUROPA GROUP,2018,11,1042259,47096.88115,6454.297579,328379.3073,364827.3356,57638.06612,7026.423791,38143.18534,1891824.497,22560225.27
EUROPA GROUP,2018,12,1042259,47096.88115,6454.297579,328379.3073,364827.3356,57638.06612,7026.423791,38143.18534,1891824.497,22560225.27
EXCELLENT BUILDERS & DEVELOPERS,2019,9,348623,20487.37167,2054.546425,71385.41978,76958.88938,20805.88821,5359.857257,12661.90248,558336.8752,10453085.25
EXCELLENT BUILDERS & DEVELOPERS,2019,10,348623,20487.37167,2054.546425,71385.41978,76958.88938,20805.88821,5359.857257,12661.90248,558336.8752,10453085.25
EXCELLENT BUILDERS & DEVELOPERS,2019,11,348623,20487.37167,2054.546425,71385.41978,76958.88938,20805.88821,5359.857257,12661.90248,558336.8752,10453085.25
EXCELLENT BUILDERS & DEVELOPERS,2019,12,348623,20487.37167,2054.546425,71385.41978,76958.88938,20805.88821,5359.857257,12661.90248,558336.8752,10453085.25
FERRINO MIZZONI,2019,10,1376928,50011.29433,9891.804727,308677.9156,591397.5443,80009.00117,21781.34288,13828.52058,2452525.424,35763353.92
FERRINO MIZZONI,2019,11,3165264,196879.6303,54852.88088,315470.0269,1028478.309,160396.5736,72765.45435,53791.6914,5047898.566,39730094.62
FERRINO MIZZONI,2019,12,2271096,123445.4623,32372.3428,312073.9713,809937.9267,120202.7874,47273.39862,33810.10599,3750211.995,37746724.27
FIELDFRESH FOODS PVT LTD,2019,9,3332584,164362.4729,40123.74305,423282.9833,1488890.613,99970.30628,19570.37562,49508.8428,5618293.337,68028374.49
FIELDFRESH FOODS PVT LTD,2019,10,8749111,586776.9987,142581.4444,2392592.129,3853473.896,459265.4456,125294.968,138161.2775,16447257.16,258330231.2
FIELDFRESH FOODS PVT LTD,2019,11,515968,16516.51545,6332.816426,102034.9444,200801.9069,25074.93776,6834.088856,19071.14082,892634.3506,12407469.41
FIELDFRESH FOODS PVT LTD,2019,12,4632539.5,301646.7571,74457.13041,1247313.537,2027137.901,242170.1917,66064.52843,78616.20916,8669945.755,135368850.3
FIJI TOURISM,2019,9,156924,6345.520472,926.8850147,25072.5207,37861.16118,5571.278125,2733.10046,5579.918356,241014.3843,4551430.326
FIJI TOURISM,2019,10,156924,6345.520472,926.8850147,25072.5207,37861.16118,5571.278125,2733.10046,5579.918356,241014.3843,4551430.326
FIJI TOURISM,2019,11,156924,6345.520472,926.8850147,25072.5207,37861.16118,5571.278125,2733.10046,5579.918356,241014.3843,4551430.326
FIJI TOURISM,2019,12,156924,6345.520472,926.8850147,25072.5207,37861.16118,5571.278125,2733.10046,5579.918356,241014.3843,4551430.326
FIT INDIA ORGANIC PVT LTD,2021,3,632339,37703.84552,9715.045446,84195.62952,249827.2177,27737.39486,5039.040583,16463.16169,1063020.335,18981069.45
FIT INDIA ORGANIC PVT LTD,2021,4,632339,41577.26884,5163.908392,152964.5034,213268.5732,27733.4338,3293.952834,19719.03664,1096059.677,6663665.795
FIT INDIA ORGANIC PVT LTD,2021,5,632339,31396.52525,5796.983796,167360.6954,238912.6757,19908.4264,11192.40861,11452.17752,1118358.893,9922350.641
FIT INDIA ORGANIC PVT LTD,2021,6,632339,27620.9856,7622.391829,86024.48979,267293.5832,36550.23509,12781.82887,20251.69284,1090484.207,12121726.27
FNS INTERNATIONAL PVT LTD,2019,10,2973889,151195.3972,49432.8394,901522.4018,1391989.757,172850.3542,12356.48838,90828.11617,5744064.354,78637052.44
FNS INTERNATIONAL PVT LTD,2019,11,2973889,151195.3972,49432.8394,901522.4018,1391989.757,172850.3542,12356.48838,90828.11617,5744064.354,78637052.44
FNS INTERNATIONAL PVT LTD,2019,12,2973889,151195.3972,49432.8394,901522.4018,1391989.757,172850.3542,12356.48838,90828.11617,5744064.354,78637052.44
FOCUS FEATURES,2020,11,739238,47773.76509,11701.51922,82773.0036,251805.1509,41188.41014,12140.70664,7054.406162,1193674.962,17979036.65
FOCUS FEATURES,2020,12,739238,47773.76509,11701.51922,82773.0036,251805.1509,41188.41014,12140.70664,7054.406162,1193674.962,17979036.65
FONTERRA FUTURE DAIRY PVT LTD,2019,9,1488866,63071.86007,9812.325199,280718.425,639171.7472,44177.46527,8050.260909,52270.36195,2586138.446,24226105.92
FONTERRA FUTURE DAIRY PVT LTD,2019,10,712970,51221.02406,6638.555943,159236.45,267184.3778,38281.10894,6261.378993,24211.89423,1266004.79,12262906.52
FONTERRA FUTURE DAIRY PVT LTD,2019,11,1100918,57146.44207,8225.440571,219977.4375,453178.0625,41229.2871,7155.819951,38241.12809,1926071.618,18244506.22
FONTERRA FUTURE DAIRY PVT LTD,2019,12,712970,51221.02406,6638.555943,159236.45,267184.3778,38281.10894,6261.378993,24211.89423,1266004.79,12262906.52
