advertiser,Best_Model
EBCO PVT LTD,Multiple_Regression
EBELL FASHION PVT LTD,LSTM
EBIX PAYMENT SERVICES PVT LTD,LSTM
EBLITZ CREATIONS,Multiple_Regression_TV_Radio_Media
EBRO INDIA PVT LTD,LSTM
ECE INDUSTRIES LTD,Multiple_Regression_TV_Radio_Media
ECO CEMENT INDIA LTD,Polynomial_Regression_TV_Radio_Media
ECOF INDUSTRIES P LTD,Multiple_Regression_TV_Radio_Media
EDELWEISS ASSET MGMT LTD,Multiple_Regression_TV_Radio_Media
EDELWEISS FINANCIAL SERVICES LTD,Multiple_Regression
EDELWEISS TOKIO LIFE INSURANCE CO LTD,Multiple_Regression
EDEN REALTY VENTURES PVT LTD,Multiple_Regression_TV_Radio_Media
EDIMANNICKAL JEWELLERY,Polynomial_Regression_TV_to_Others
EDUAURAA TECHNOLOGIES PVT LTD,Multiple_Regression_TV_Radio_Media
EDUCATE PUNJAB PROJECT,Multiple_Regression_TV_Radio_Media
EDUISFUN TECHNOLOGIES PVT LTD,Multiple_Regression_TV_Radio_Media
EDULIVE SERVICES,Polynomial_Regression_TV_Radio_Media
EEVE INDIA,Multiple_Regression
EGYPT TOURISM,Multiple_Regression_TV_Radio_Media
EHEALTH NETWORK SOLUTIONS PVT LTD,Multiple_Regression_TV_Radio_Media
EICHER MOTORS LTD,Multiple_Regression_TV_Radio_Media
EKAAM THE VOGUE STUDIO,Linear_Regression
EKLAVYA MODEL RESIDENCIAL SCHOOL GANGYAP,Multiple_Regression
ELAN IMPEX,Multiple_Regression_TV_Radio_Media
ELECON ENGG COMPANY LTD,Multiple_Regression_TV_Radio_Media
ELECTION COMMISSION (CH),Multiple_Regression_TV_Radio_Media
ELECTION COMMISSION OF INDIA,Multiple_Regression_TV_Radio_Media
ELECTROLUX KELVINATOR LTD,Multiple_Regression
ELECTRONICS MART INDIA LTD,Multiple_Regression_TV_Radio_Media
ELEGARE BEAUTY PVT LTD,LSTM
ELEPHANT TMT BARS,Linear_Regression
ELGI ULTRA INDUSTRIES LTD,Multiple_Regression_TV_Radio_Media
ELICA,Linear_Regression
ELITE FOODS PVT LTD,Multiple_Regression
ELITE FOOTWEAR,Multiple_Regression_TV_Radio_Media
ELLEYS INDUSTRIES (I) PVT LTD,LSTM
ELLORA NATURAL SEEDS PVT LTD,LSTM
ELTECH APPLIANCES PVT LTD,Multiple_Regression_TV_Radio_Media
EMAMI AGROTECH LTD,Linear_Regression
EMAMI LIMITED,LSTM
EMBASSY GROUP,Multiple_Regression_TV_Radio_Media
EMBASSY OFFICE PARKS PVT LIMITED,Multiple_Regression_TV_Radio_Media
EMBASSY PROPERTY DEVELOPMENTS  LTD,Multiple_Regression_TV_Radio_Media
EMERALD JEWEL INDUSTRY PVT LTD,LSTM
EMIRATES AIR LINES,LSTM
EMIRATES REFINING CO LTD,LSTM
EMMBI INDUSTRIES LTD,Multiple_Regression
EMPIRE SPICES & FOODS,LSTM
EMPLOYEE STATE INSURANCE CORP,LSTM
ENERGY EFFICIENCY SERVICE LTD,Multiple_Regression_TV_Radio_Media
ENERGY MANAGEMENT CENTRE KERALA,Multiple_Regression_TV_Radio_Media
ENGINEER.AI GLOBAL LTD,Multiple_Regression_TV_Radio_Media
ENTER 10 TELEVISION PVT LTD,Linear_Regression
ENTERTAINMENT NETWORK (I) LTD,LSTM
ENTERTAINMENT STUDIOS/MOTION PICTURE,Multiple_Regression_TV_Radio_Media
EPIC TELEVISION NETWORKS PVT LTD,Multiple_Regression_TV_Radio_Media
EPSON INDIA PVT LTD,Multiple_Regression_TV_Radio_Media
EPX UPTECH PVT LTD,Multiple_Regression
EQUINOX GLOBAL SHELTERS,Multiple_Regression_TV_Radio_Media
EQUITAS SMALL FINANCE BANK LTD,Multiple_Regression
ERIS HEALTHCARE PVT LTD,LSTM
ERIS LIFESCIENCES PVT LTD,Linear_Regression
ERISHA AGRITECH PRIVATE LIMITED,Polynomial_Regression_TV_Radio_Media
ERNST & YOUNG PVT LTD,Linear_Regression
EROS INTL,LSTM
EROS MUSIC,LSTM
ESCORTS LTD,Multiple_Regression
ESD HERBS INDIA PVT LTD,LSTM
ESDEE PAINTS LTD,Multiple_Regression_TV_Radio_Media
ESHAN INDUSTRIES (JAGRAON),LSTM
ESKAG PHARMA PVT LTD,Multiple_Regression_TV_Radio_Media
ESKEN PHARMACEUTICALS LTD,Multiple_Regression
ESPN DIGITAL MEDIA INDIA PVT LTD,Multiple_Regression
ESS GLOBAL PVT LTD,LSTM
ESSENS WELLNESS TECHNOLOGIES PRIVATE LIMITED,Multiple_Regression
ESSILOR INDIA PVT LTD,Linear_Regression
ETA GENERAL PRIVATE LIMITED,LSTM
ETC AGRO PROCESSING INDIA PVT LTD,Linear_Regression
ETERNO INFOTECH PVT LTD,Multiple_Regression_TV_Radio_Media
ETHNIC HEALTH CARE,Linear_Regression
ETIHAD AIRWAYS,Multiple_Regression
ETISALAT,Multiple_Regression
ETV NETWORK,Multiple_Regression_TV_Radio_Media
EU LOTTO LTD,Multiple_Regression_TV_Radio_Media
EUREKA FORBES LTD,LSTM
EURO GUARD (ANGAMALY),Multiple_Regression
EUROPA GROUP,Multiple_Regression_TV_Radio_Media
EVEREADY INDUSTRIES INDIA LTD,Linear_Regression
EVEREST FAN,Multiple_Regression_TV_Radio_Media
EVEREST INDUSTRIES LTD,LSTM
EVEREST SPICES & FOODS,Polynomial_Regression_TV_to_Others
EVEREST STABILIZERS PVT LTD,LSTM
EXCEL ACADAMICS,Multiple_Regression_TV_Radio_Media
EXCEL INTERNATIONAL,Multiple_Regression_TV_Radio_Media
EXCELLENCIA JR CLG AND SCHOOL,Multiple_Regression_TV_Radio_Media
EXCELLENT BUILDERS & DEVELOPERS,Multiple_Regression_TV_Radio_Media
EXEALA HEALTHCARE INDUSTRIES,Linear_Regression
EXIDE INDUSTRIES LTD,Multiple_Regression_TV_Radio_Media
EXPEDIA ONLINE TRAVEL SERVICES,Multiple_Regression
EXPERT PROFESSIONAL ACADEMY (PUNE),Multiple_Regression_TV_Radio_Media
EXPRESS IMMIGRAT APPEAL SERV,Multiple_Regression_TV_Radio_Media
EXTRAMARKS EDUCATION PVT LTD,Multiple_Regression_TV_Radio_Media
EXXONMOBIL CORPORATION,LSTM
EYE,Multiple_Regression_TV_Radio_Media
FACEBOOK INC,LSTM
FACES COSMETICS INDIA LTD,Multiple_Regression_TV_Radio_Media
FAIR LOOK,Multiple_Regression
FAIRBEAT HERBAL COSMETICS PVT LTD,Multiple_Regression
FALCON SUBMERSIBLES PVT LTD,Polynomial_Regression_TV_Radio_Media
FAMILY PLASTICS & THERMOWARE,Multiple_Regression_TV_Radio_Media
FAMILY WEDDING CENTRE,Multiple_Regression_TV_Radio_Media
FAMS CONSUMER PRODUCTS PVT LTD,Multiple_Regression_TV_Radio_Media
FANATICS (INTERNATIONAL) LTD,Polynomial_Regression_TV_to_Others
FANTASY SPORTS PVT LTD,LSTM
FANZART INDIA,Multiple_Regression
FASHNEAR TECHNOLOGIES PVT LTD,Polynomial_Regression_TV_to_Others
FASTWAY,Multiple_Regression
FASTWAY TRANSMISSION P LTD,LSTM
FAVOURITE CONSTRUCTIONS P LTD,Multiple_Regression_TV_Radio_Media
FCA INDIA AUTOMOBILES PVT LTD,LSTM
FEATHERLITE PRODUCTS (P) LTD,Multiple_Regression_TV_Radio_Media
FED OF IND CHAM OF COMM & INDS,Multiple_Regression_TV_Radio_Media
FEDERAL BRANDS LTD,Linear_Regression
FEDERATION INTERNATIONALE DE FOOTBALL AS,LSTM
FELTRON,Polynomial_Regression_TV_to_Others
FEMELIFE FERTILITY FOUNDATION PVT LTD,Multiple_Regression
FEMINA PRODUCTS,Multiple_Regression
FENA LIMITED,LSTM
FERIT SPORTS INDIA PVT LTD,Multiple_Regression_TV_Radio_Media
FERRERO,Multiple_Regression
FERRERO INDIA LTD,LSTM
FERRINO MIZZONI,Multiple_Regression_TV_Radio_Media
FIBBU FASHIONS,Multiple_Regression_TV_Radio_Media
FIELDFRESH FOODS PVT LTD,Multiple_Regression_TV_Radio_Media
FIFTH GEAR VENTURES LTD,Polynomial_Regression_TV_Radio_Media
FIITJEE LTD,LSTM
FIJI TOURISM,Multiple_Regression_TV_Radio_Media
FILM & TELEVISION INST OF IND,Multiple_Regression_TV_Radio_Media
FILM EMPLOYEES FEDERATION OF KERALA,Multiple_Regression_TV_Radio_Media
FILMS DIVISION,Multiple_Regression_TV_Radio_Media
FINE ORGANICS INDUSTRIES LIMITED,Multiple_Regression_TV_Radio_Media
FINGERCROSS FASHION&ENTERTAINMENT VENTURE PVT LTD,LSTM
FINO PAYMENT BANK,Polynomial_Regression_TV_to_Others
FINOLEX CABLES LTD,LSTM
FINOLEX INDUSTRIES LIMITED,Multiple_Regression
FINOLEX PLASSON INDUSTRIES LTD,Multiple_Regression_TV_Radio_Media
FINVASIA SECURITIES PVT LTD,Multiple_Regression
FIRST BENCH,Multiple_Regression_TV_Radio_Media
FIT INDIA ORGANIC PVT LTD,Multiple_Regression_TV_Radio_Media
FITBIT INC,Multiple_Regression
FITSPORT NUTRITION FOODS PVT LTD,Multiple_Regression_TV_Radio_Media
FIZIKEM LABORATORIES PVT LTD,Polynomial_Regression_TV_Radio_Media
FLAIR PENS LTD,Multiple_Regression
FLAVOUR FOODS,LSTM
FLIPKART.COM,LSTM
FLIPPED PVT LTD,Multiple_Regression_TV_Radio_Media
FLOWERS FAMILY CHARITABLE TRUST,Multiple_Regression_TV_Radio_Media
FMC INDIA PVT LTD,Multiple_Regression_TV_Radio_Media
FNS INTERNATIONAL PVT LTD,Multiple_Regression_TV_Radio_Media
FOCUS FEATURES,Multiple_Regression_TV_Radio_Media
FOCUS-IDEATE INNOVATE ENABLE,LSTM
FONTERRA FUTURE DAIRY PVT LTD,Multiple_Regression_TV_Radio_Media
FOOD MAKER,Multiple_Regression_TV_Radio_Media
FOOD SAFETY & STANDARDS AUTHOR,Multiple_Regression_TV_Radio_Media
FORCE MOTORS LTD,Multiple_Regression_TV_Radio_Media
FORD INDIA PVT LTD,LSTM
FOREVERMARK DIAMONDS PVT LTD,LSTM
FORTIS HEALTHCARE LTD,Multiple_Regression_TV_Radio_Media
FORTUNE INFRA DEVELOP PVT LTD,Multiple_Regression_TV_Radio_Media
FOSSIL,Multiple_Regression
FOUNDATION AGAINST THALASSAEMIA,Multiple_Regression_TV_Radio_Media
FOUR BROTHERS APPARELS P LTD,Multiple_Regression_TV_Radio_Media
FOURTH DIMENSION MEDIA SOLUTIONS,Multiple_Regression_TV_Radio_Media
FOX SEARCH LIGHT PICTURES,Multiple_Regression_TV_Radio_Media
FOZET-SARK SANITECH INDIA PVT LTD,Multiple_Regression_TV_Radio_Media
FRANCH HERBS TECHNOLOGIES LTD,Multiple_Regression_TV_Radio_Media
FRANKE FABER INDIA LTD,LSTM
FRANKFINN AVIATION SERV P LTD,Multiple_Regression_TV_Radio_Media
FREECIA PROFESSIONAL INDIA PVT LTD,Multiple_Regression_TV_Radio_Media
FREEWILL SPORTS PVT LTD,LSTM
FREUDENBERG GALA HOUSEHOLD PRODUCT PVT,LSTM
FRIGORIFICO ALLANA LTD,LSTM
FULLERTON INDIA CREDIT CO LTD,Multiple_Regression_TV_Radio_Media
FUNSKOOL,LSTM
FUTURE CONSUMER LTD,Multiple_Regression
FUTURE GENERALI INDIA LIFE INS,Multiple_Regression_TV_Radio_Media
FUTURE LEARNING,Polynomial_Regression_TV_to_Others
FUTURE LIFESTYLE FASHION,LSTM
FUTURE RETAIL LTD,Multiple_Regression_TV_Radio_Media
FUTURE SPECIALITY RETAIL LIMITED,Multiple_Regression_TV_Radio_Media
FUTUREVALUE PRODUCTS PVT LTD,Multiple_Regression
FX MART PVT LTD,Multiple_Regression_TV_Radio_Media
G & C INFRA,Multiple_Regression_TV_Radio_Media
G D GOENKA GROUP,Multiple_Regression
G D PHARMA,LSTM
G G ORGANICS P LTD,LSTM
G K DAIRY,Multiple_Regression_TV_Radio_Media
G M PACKERS,Multiple_Regression
G M PENS INTL LTD,Multiple_Regression
G P JAIN CHARITABLE TRUST,Polynomial_Regression_TV_Radio_Media
G R THANGA MALIGAI JEWELLERY,LSTM
G S GOLD CO,Polynomial_Regression_TV_Radio_Media
GABON SPECIAL ECONOMIC ZONE SA,LSTM
GAGAN FERROTECH LTD,Multiple_Regression
GAHIR AGRO INDUSTRIES (P) LTD,Multiple_Regression_TV_Radio_Media
GAIL (GAS AUTHORITY OF INDIA),Multiple_Regression
GAINWELL COMMOSALES PVT LTD,Linear_Regression
GAJKUMAR BROS & GAJKUMAR GRANDSONS,Multiple_Regression_TV_Radio_Media
GALACTUS FUNWARE TECHNOLOGY PVT LTD,Multiple_Regression_TV_Radio_Media
GALAXY SURFACTANTS LTD,Multiple_Regression_TV_Radio_Media
GAMES NINETY ONE FANTASY SPORTS&SKILLED GAMES,Multiple_Regression
GAMESKRAFT TECHNOLOGIES PVT LTD,LSTM
GAMETION TECHNOLOGIES PVT LTD,Multiple_Regression_TV_Radio_Media
GANAPATI HERBAL CARE PVT LTD,LSTM
GANDHI ENGG CLG,Multiple_Regression_TV_Radio_Media
GANDHI INST (KOL),Multiple_Regression_TV_Radio_Media
GANDHI INST FOR TECH,Polynomial_Regression_TV_Radio_Media
GANDHI INSTITUTE OF HOTEL MGMT,Multiple_Regression
GANDHI SPICES PVT LTD,Multiple_Regression_TV_Radio_Media
GANESH FOOD PRODUCTS,Multiple_Regression
GANESH FOOD PRODUCTS PVT LTD (BLR),Multiple_Regression_TV_Radio_Media
GANESH GRAINS LTD,LSTM
GANESH HOUSING CORP LTD/SIDDHI DEVELOPER,Multiple_Regression_TV_Radio_Media
GANESH INDUSTRIAL CORPORATION (BLR),Multiple_Regression
GANGA UDYOG PVT LTD,Multiple_Regression_TV_Radio_Media
GANPATI ADVISORY LTD (VAR),Multiple_Regression_TV_Radio_Media
GARDEN CITY EDUCATION TRUST,LSTM
GARDEN REACH SHIPBUILD&ENG LTD,Multiple_Regression_TV_Radio_Media
GARENA INTERNATIONAL I PVT LTD,Multiple_Regression_TV_Radio_Media
GARG INDUSTRIES (PUNJAB),Multiple_Regression_TV_Radio_Media
GARG SONS INDIA PVT LTD,Multiple_Regression_TV_Radio_Media
GARMENT TECH EXPO PVT LTD,Multiple_Regression_TV_Radio_Media
GATEWAY BEAU MONDES HAIR FIX,LSTM
GAURI HOSIERY,Multiple_Regression_TV_Radio_Media
GAUSSIAN NETWORKS PVT LTD,Multiple_Regression_TV_Radio_Media
GAYATRI DAIRY PRODUCTS PVT LTD,Multiple_Regression_TV_Radio_Media
GAYATRI EDUCATIONAL INST,Linear_Regression
GAYATRI GROUP OF INST,Multiple_Regression_TV_Radio_Media
GBR METALS PVT LTD,Multiple_Regression_TV_Radio_Media
GBS SYSTEMS & SERVICES PVT LTD,Multiple_Regression_TV_Radio_Media
GCL SECURITIES PVT LTD,Multiple_Regression_TV_Radio_Media
GCMMF (GUJ COOP MILK MKT FED),LSTM
GDS PERFUMERY WORKS,Polynomial_Regression_TV_Radio_Media
GEA NATIONAL CLG,Multiple_Regression
GEEKEN SEATING COLLECTION PVT LTD,Multiple_Regression
GEEPAS ELEC & HOME APPLIANCES,Multiple_Regression_TV_Radio_Media
GEER FOUNDATION (GANDHINAGAR),Polynomial_Regression_TV_Radio_Media
GEETANJALI HOME APPLIANCES,Multiple_Regression_TV_Radio_Media
GEEYES HEALTH & BEAUTY CARE PR,LSTM
GELMA FROZEN CREAMS (P) LTD,Multiple_Regression
GEM HOSPITAL&RESEARCH CENTRE,LSTM
GEM PAINTS PVT LTD,Multiple_Regression_TV_Radio_Media
GEMINI EDIBLES & FATS INDIA PV,LSTM
GEMS EDUCATION,Multiple_Regression_TV_Radio_Media
GENERAL INSURANCE COUNCIL,Linear_Regression
GENERAL MILLS INDIA,LSTM
GENESIS IVF ADVANCED FERTILITY CENT (COIMBATORE),Multiple_Regression
GENIUS CONSULTANTS LTD,Multiple_Regression_TV_Radio_Media
GENIX FERTILITY CARE (BWR),Multiple_Regression_TV_Radio_Media
GHARRKUL INDUSTRIES PVT LTD,Polynomial_Regression_TV_to_Others
GHCL LTD,LSTM
GHMC-GREATER HYD MUNCIPAL CORP,Multiple_Regression_TV_Radio_Media
GHODAWAT CONSUMER PROD PVT LTD,Multiple_Regression_TV_Radio_Media
GHV ADVANCED CARE PVT LTD,Multiple_Regression_TV_Radio_Media
GILLETTE INDIA LTD,LSTM
GIM INFOTECH PVT LTD,Multiple_Regression_TV_Radio_Media
GINNI TEA INDUSTRIES LIMITED,Polynomial_Regression_TV_Radio_Media
GIRI,Multiple_Regression
GIRIAS INDIA INVESTMENT PVT LTD,LSTM
GIRNAR FOOD & BEVERAGES P LTD,Multiple_Regression
GIRNAR INSURANCE BROKERS PVT LTD,Multiple_Regression_TV_Radio_Media
GIRNAR SOFTWARE PVT LTD,Multiple_Regression
GIT(GUWAHATI),Multiple_Regression
GITAM UNIVERSITY,Linear_Regression
GITANJALI GEMS LTD,Linear_Regression
GITS FOOD PRODUCTS PVT LTD,LSTM
GIVE FOUNDATION,Multiple_Regression_TV_Radio_Media
GIVE INDIA,Multiple_Regression_TV_Radio_Media
GLA UNIVERSITY,LSTM
GLAMOUR WORLD AYURVEDIC CO PVT LTD,Multiple_Regression
GLANCE INMOBI PTE LTD,LSTM
GLAND PHARMA LIMITED,Multiple_Regression_TV_Radio_Media
GLAXO SMITHKLINE,LSTM
GLAXO SMITHKLINE CONSU HEALTH,LSTM
GLAXO SMITHKLINE PHARMACEUTIC,Multiple_Regression
GLEN APPLIANCES,Polynomial_Regression_TV_Radio_Media
GLENMARK PHARMACEUTICALS,Multiple_Regression
GLOBAL COLOURS & CHEMICALS LTD,LSTM
GLOBAL CONSUMER PRODUCTS PVT LTD,Multiple_Regression
GLOBAL ENTERPRISES (DEL),LSTM
GLOBAL FRAGRANCES PV LTD,Multiple_Regression_TV_Radio_Media
GLOBAL GROUP OF INST HALDIA,Multiple_Regression_TV_Radio_Media
GLOBAL MEDIA BOX,Multiple_Regression_TV_Radio_Media
GLOBAL SOCIAL EDUCATION TRUST,Multiple_Regression_TV_Radio_Media
GLOBAL TECH & TRADEMARK LTD,Linear_Regression
GLOBAL TELECASTING PRIVATE LIMITED,Multiple_Regression
GLOBAL VISA HELPLINE INDIA (CHD),Multiple_Regression
GLOBE BROADCASTING PVT LTD,Multiple_Regression
GLOBE DETECTIVE AGENCY,Multiple_Regression
GLOBE TROTTERS,Multiple_Regression_TV_Radio_Media
GM MODULAR PVT LTD,Multiple_Regression_TV_Radio_Media
GMMCO LTD,LSTM
GMR GROUP,Multiple_Regression
GO DADDY OPERATING COMPANY,LSTM
GOAL EDUCATIONAL SERVICES PVT LTD,LSTM
GOAL-IIT-JEE (DBD),Multiple_Regression_TV_Radio_Media
GODFREY PHILLIPS INDIA LTD,Multiple_Regression
GODREJ & BOYCE MFG COMPANY LTD,Polynomial_Regression_TV_to_Others
GODREJ AGROVET,Multiple_Regression_TV_Radio_Media
GODREJ CONSUMER PRODUCTS LTD,LSTM
GODREJ SARA LEE LTD,Multiple_Regression
GODREJ TYSON FOODS LTD,Multiple_Regression_TV_Radio_Media
GOING TO SCHOOL,Multiple_Regression_TV_Radio_Media
GOKANN INTERNATIONAL MEDIA PRIVATE LIMITED,Multiple_Regression_TV_Radio_Media
GOKHALE CONSTRUCTIONS,Multiple_Regression_TV_Radio_Media
GOKUL DAIRY,Multiple_Regression_TV_Radio_Media
GOKUL HOSIERY,LSTM
GOKULAM GROUP OF COMPANIES,Multiple_Regression
GOKULDAS INTIMATEWEAR PVT LTD,Multiple_Regression
GOLD CONCEPTS TECHNOLOGIES PVT LTD,Multiple_Regression_TV_Radio_Media
GOLD SOAP COMPANY,LSTM
GOLD STAR INDUSTRIES PVT LTD,Multiple_Regression_TV_Radio_Media
GOLDEN HOSIERY MFG CO PVT LTD,Multiple_Regression_TV_Radio_Media
GOLDMEDAL ELECTRICAL PVT LTD,Multiple_Regression_TV_Radio_Media
GOLDS GYM INDIA,Multiple_Regression_TV_Radio_Media
GOLDSTONE CEMENTS LIMITED,Multiple_Regression_TV_Radio_Media
GOOD BUY SOAPS & COSMETICS PVT LTD,Multiple_Regression
GOOD SHEPHERD EDU TRUST (BLR),Multiple_Regression_TV_Radio_Media
GOOD SHEPHERD INTL SCH,Multiple_Regression_TV_Radio_Media
GOODCARE PHARMA,Multiple_Regression_TV_Radio_Media
GOODWILL COMMODITIES,Polynomial_Regression_TV_to_Others
GOODWIN JEWELLERS,Multiple_Regression_TV_Radio_Media
GOOGLE,LSTM
GOOGLE/FED OF IND CHAM OF COMM & INDS,Multiple_Regression_TV_Radio_Media
GOPAL CORPORATION LTD,Multiple_Regression_TV_Radio_Media
GOPAL NARAYAN SINGH UNIVERSITY,Multiple_Regression_TV_Radio_Media
GOPINATH PATIL PARSIK JANTA SAH BANK,Multiple_Regression_TV_Radio_Media
GOPU NANDILATH GROUP,Linear_Regression
GOQII TECHNOLOGIES PVT LTD,Polynomial_Regression_TV_to_Others
GOVINDRAM SHOBRAM CO,Linear_Regression
GOVT OF ANDHRA PRADESH,LSTM
GOVT OF ASSAM,LSTM
GOVT OF AUSTRALIA,Multiple_Regression_TV_Radio_Media
GOVT OF BIHAR,Multiple_Regression
GOVT OF CHHATTISGARH,LSTM
GOVT OF DELHI,LSTM
GOVT OF GUJARAT,LSTM
GOVT OF HARYANA,Multiple_Regression
GOVT OF INDIA,LSTM
GOVT OF JAMMU & KASHMIR,Polynomial_Regression_TV_to_Others
GOVT OF JAPAN,Polynomial_Regression_TV_to_Others
GOVT OF JHARKHAND,LSTM
GOVT OF KARNATAKA,LSTM
GOVT OF KERALA,Polynomial_Regression_TV_Radio_Media
GOVT OF MADHYA PRADESH,LSTM
GOVT OF MAHARASHTRA,Polynomial_Regression_TV_Radio_Media
GOVT OF MEGHALAYA,Multiple_Regression_TV_Radio_Media
GOVT OF ORISSA,LSTM
GOVT OF PUNJAB,LSTM
GOVT OF RAJASTHAN,LSTM
GOVT OF TAMILNADU,LSTM
GOVT OF TELANGANA,LSTM
GOVT OF UK,Multiple_Regression_TV_Radio_Media
GOVT OF UTTAR PRADESH,LSTM
GOVT OF UTTARAKHAND,Multiple_Regression_TV_Radio_Media
GOVT OF WEST BENGAL,LSTM
GP HOMES PVT LTD,Linear_Regression
GRANDMAS FOOD PRODUCTS,Multiple_Regression_TV_Radio_Media
GRANT INVESTRADE LTD,Multiple_Regression_TV_Radio_Media
GRAPHIC ERA EDUCATIONAL SOCIETY,LSTM
GRASIM INDUSTRIES LTD,Linear_Regression
GRAVITAS VENTURES LLC,Multiple_Regression_TV_Radio_Media
GRB DAIRY FOODS,LSTM
GREAT EASTERN APPLIANCES P LTD,Multiple_Regression_TV_Radio_Media
GREAT GANGES GRP OF INST,Linear_Regression
GREAT INDIA NAUTANKI COMPANY,Multiple_Regression_TV_Radio_Media
GREAT LAKES E-LEARNING SERVICES PRIVATE LIMITED,Multiple_Regression_TV_Radio_Media
GREATER CHENNAI CORPORATION,Linear_Regression
GREATER VALLEY SCH,Multiple_Regression
GREATWHITE ELECTRICALS PVT LTD,Multiple_Regression
GREEN GOLD PICTURES,Multiple_Regression
GREENDOT HEALTH FOODS LTD,Polynomial_Regression_TV_to_Others
GREENLAM INDUSTRIES LTD,Polynomial_Regression_TV_to_Others
GREENLIGHT PLANET INDIA P LTD,Multiple_Regression_TV_Radio_Media
GREENPLY INDUSTRIES LTD,LSTM
GREYGON COSMETICS LLP,Multiple_Regression_TV_Radio_Media
GRIHASTHI UDYOG,Multiple_Regression_TV_Radio_Media
GROFERS INDIA PVT LTD,Multiple_Regression_TV_Radio_Media
GROHE INDIA PVT LTD,Multiple_Regression_TV_Radio_Media
GROOM INDIA SALON & SPA PVT LTD,Multiple_Regression_TV_Radio_Media
GROUPE SEB INDIA PVT LTD,Multiple_Regression_TV_Radio_Media
GROWTH MATTERS FORUM,Multiple_Regression_TV_Radio_Media
GROWTH ON,Multiple_Regression
GRT GROUP OF EDU INST,Multiple_Regression_TV_Radio_Media
GRT INST OF ENGG & TECH,Multiple_Regression_TV_Radio_Media
GS E COMMERCE PVT LTD,Multiple_Regression_TV_Radio_Media
GSA INDUSTRIES,Multiple_Regression_TV_Radio_Media
GSFC (GUJ STATE FERT & CHEM),Multiple_Regression_TV_Radio_Media
GSP CROP SCIENCE PVT LTD,Multiple_Regression_TV_Radio_Media
GTPL HATHWAY PVT LTD,Multiple_Regression_TV_Radio_Media
GUARDIAN HEALTHCARE SERVICES PRIVATE LIMITED,Multiple_Regression
GUIDELINE TRAVELS PVT LTD,Linear_Regression
GUILTFREE INDUSTRIES LTD,Polynomial_Regression_TV_Radio_Media
GUJARAT ECOLOGY COMMISSION,LSTM
GUJARAT ENERGY DEVELOPMENT AGENCY,Multiple_Regression_TV_Radio_Media
GUJARAT FACTORY STORAGE,Multiple_Regression_TV_Radio_Media
GUJARAT GROWMED MKT(I)PVT LTD,LSTM
GUJARAT INDUSTRIAL DEVELOPMENT CORP,Multiple_Regression_TV_Radio_Media
GUJARAT MATIKAM KAL&RUR TEC IN,Multiple_Regression_TV_Radio_Media
GUJARAT MINERAL DEVELOPMENT CORP LTD,Multiple_Regression_TV_Radio_Media
GUJARAT MOTOR VEHICLES DEPARTMENT,Multiple_Regression_TV_Radio_Media
GUJARAT PAVITRA YATRADHAM VIKAS BOARD,Multiple_Regression
GUJARAT SKILL DEVELOPMENT MISS,Multiple_Regression_TV_Radio_Media
GUJARAT ST AIDS CONTROL SOCITY,Multiple_Regression_TV_Radio_Media
GUJARAT ST CIVIL SUPPLIES CORP LTD,Multiple_Regression
GUJARAT ST COMISSION FOR WOMEN,Multiple_Regression
GUJARAT ST CONSUMER AFFAIR,Multiple_Regression
GUJARAT ST DISASTER MANAGEMENT AUTHORITY,Multiple_Regression
GUJARAT STATE CO OP BANK LTD,Multiple_Regression_TV_Radio_Media
GUJARAT TEA PROCESSORS,LSTM
GUJARAT URJA VIKAS NIGAM LTD,Multiple_Regression
GUJRAT STATE FOOD COMMISSION,Multiple_Regression_TV_Radio_Media
GULAB OILS & FOODS PVT LTD,Multiple_Regression_TV_Radio_Media
GULF OIL CORPORATION LTD,Linear_Regression
GULF OIL INDIA LTD,Multiple_Regression_TV_Radio_Media
GULFTECH GROUP OF COMPANIES,Multiple_Regression_TV_Radio_Media
GULMOHAR EMPIRES,Multiple_Regression_TV_Radio_Media
GUNTUR OXFORD,Multiple_Regression
GURBAZ AGRICULTURE WORKS,Multiple_Regression_TV_Radio_Media
GURU HASTI THANGAMALIGAI,Multiple_Regression_TV_Radio_Media
GURU NANAK DEV EDUC SOCIETY,Multiple_Regression_TV_Radio_Media
GURU NANAK INST OF TECH,Polynomial_Regression_TV_to_Others
GURU NANAK SEWA TRUST,Multiple_Regression_TV_Radio_Media
GURUDWARA BER SAHIB,Multiple_Regression_TV_Radio_Media
GURUJI THANDAIWALA PVT LTD,Multiple_Regression_TV_Radio_Media
GURUKUL TAKSHSILA,Multiple_Regression_TV_Radio_Media
GURVINDER HEAVY EARTHMOVERS,Multiple_Regression
GVN HOMES PVT LTD,Polynomial_Regression_TV_to_Others
GYAN SAGAR FOUNDATION(SOCIETY),Multiple_Regression_TV_Radio_Media
GYANKAAR TECHNOLOGIES PVT LTD,Multiple_Regression
H B INDUSTRIES,LSTM
H G INFRA ENGINEERING PVT LTD,Multiple_Regression_TV_Radio_Media
H K DUTTA & CO JEWELLERS,LSTM
H L HAHNEMANN LAB,Multiple_Regression_TV_Radio_Media
H P TOURISM DEVELOPMENT CORPORATION LTD,Multiple_Regression_TV_Radio_Media
H&M HENNES & MAURTIZ INDIA PVT LTD,LSTM
